manufacturer,model,price_pln,rating,rating_count,availability,stock_quantity,url
Harley Benton,ST-20HSS SBK Standard Series,475.0,9.1596,883,IN_STOCK,1846,harley_benton_st_20hss_sbk_standard_series.htm?type=category
Harley Benton,ST-20HSS Standard SBK Set,769.0,,0,IN_STOCK,1846,harley_benton_st_20hss_standard_sbk_bundle.htm?type=category
Harley Benton,WL-20BK Rock Series,499.0,8.9872,314,IN_STOCK,681,harley_benton_wl_20bk_rock_series.htm?type=category
Squier,J.Mascis Jazzmaster,2275.0,9.5798,119,IN_STOCK,37,fender_sq_j.mascis_jazzmaster_2018.htm?type=category
Harley Benton,RG-Junior BK Rock Series,379.0,8.7396,265,IN_STOCK,1405,harley_benton_rg_junior_bk_rock_series.htm?type=category
Harley Benton,TE-52 NA Vintage Series,725.0,9.2822,2296,IN_STOCK,354,harley_benton_hbt1952.htm?type=category
Harley Benton,JA-Baritone P90 BK,855.0,9.12,175,IN_STOCK,379,harley_benton_ja_baritone.htm?type=category
Harley Benton,Electric Guitar Kit T-Style,379.0,8.644,1652,IN_STOCK,852,harley_benton_eguitar_kit_tstyle.htm?type=category
Harley Benton,TE-20HH SBK Standard Series,477.0,9.0436,801,IN_STOCK,1413,harley_benton_te_20hh_sbk_standard_series.htm?type=category
Harley Benton,Electric Guitar Kit Single Cut,466.0,8.4925,1336,IN_STOCK,1232,harley_benton_electric_guitar_kit_lpstyle.htm?type=category
Harley Benton,ST-20 BK Standard Series,379.0,8.5356,911,IN_STOCK,1646,harley_benton_ms15bk.htm?type=category
Harley Benton,Electric Guitar Kit DC Style,422.0,8.2838,782,IN_STOCK,414,harley_benton_eguitar_kit_sgstyle.htm?type=category
Harley Benton,BigTone Trem White,1399.0,9.1333,240,IN_STOCK,91,harley_benton_bigtone_white_vintage_series.htm?type=category
Harley Benton,SC-550 II BCF,1399.0,9.472,197,IN_STOCK,362,harley_benton_sc_550_ii_bcf.htm?type=category
Harley Benton,ST-20 BK Standard Serie Bundle,555.0,,0,IN_STOCK,1646,harley_benton_st_20_bk_standard_serie_bundle_set.htm?type=category
Harley Benton,Electric Guitar Kit HB35-Style,769.0,8.7272,33,IN_STOCK,667,harley_benton_electric_guitar_kit_hb35_style.htm?type=category
Harley Benton,ST-Junior HSS SBK,425.0,8.2162,37,IN_STOCK,267,harley_benton_st_junior_hss_sbk.htm?type=category
Harley Benton,RB-612CS Classic Series,1150.0,9.098,306,IN_STOCK,206,harley_benton_rb_612cs_classic_series.htm?type=category
Squier,Aff. Strat HSS PACK CFM,1399.0,9.1648,91,IN_STOCK,78,fender_sq_aff._strat_hss_pack_cfm.htm?type=category
Harley Benton,TE-20MN BM Standard Series,379.0,9.1596,764,IN_STOCK,474,harley_benton_te_20mn_bm_standard_series.htm?type=category
ESP,LTD Snakebyte SW,6799.0,9.5714,28,IN_STOCK,3,esp_ltd_snakebyte_sw_459205.htm?type=category
Harley Benton,ST-20HSS Standard SBK Bundle,799.0,,0,IN_STOCK,1484,harley_benton_st_20hss_standard_sbk_bundle_set.htm?type=category
Harley Benton,Electric Guitar Kit Square,489.0,8.0,32,IN_STOCK,294,harley_benton_electric_guitar_kit_square.htm?type=category
Harley Benton,Electric Guitar Kit Extreme-84,679.0,8.6538,52,IN_STOCK,464,harley_benton_electric_guitar_kit_extreme_84.htm?type=category
PRS,SE Ed Sheeran Cosmic Splash,6890.0,9.5,4,IN_STOCK,51,prs_se_ed_sheeran_cosmic_splash.htm?type=category
Harley Benton,HWY-25BKS Progressive Series,499.0,8.932,500,IN_STOCK,1266,harley_benton_hwy_25bks_progressive_series.htm?type=category
Harley Benton,SC-1000 SBK Progressive Line,849.0,9.0459,610,IN_STOCK,438,harley_benton_l1000_vb_progressive_line.htm?type=category
Harley Benton,JA-60CC Seafoam Green,769.0,9.4925,134,IN_STOCK,137,harley_benton_ja_60cc_seafoam_green.htm?type=category
Harley Benton,SC-450 CB Classic Series,598.0,9.102,196,IN_STOCK,178,harley_benton_sc_450_cb_classic_series.htm?type=category
Harley Benton,SC-550 II PAF,1369.0,9.4335,173,IN_STOCK,123,harley_benton_sc_550_ii_paf.htm?type=category
Harley Benton,ST-20 WH Standard Series,379.0,8.704,696,IN_STOCK,611,harley_benton_ms15wh.htm?type=category
Hils,HZ7 Satin Galaxy Black,2999.0,7.0,2,IN_STOCK,15,hils_hz7_satin_galaxy_black.htm?type=category
Harley Benton,SC-450 P90 GT Classic Series,635.0,8.9951,623,IN_STOCK,511,harley_benton_sc_450_p90_gt_classic_series.htm?type=category
Harley Benton,R-458MN WH MultiScale,855.0,8.9898,295,IN_STOCK,69,harley_benton_r_458_wh_fanfret.htm?type=category
Hils,Next HN3 Ivory,2055.0,8.7272,11,IN_STOCK,40,hils_next_hn3_ivory.htm?type=category
Harley Benton,TE-90QM Trans Red,849.0,9.1934,486,IN_STOCK,182,harley_benton_te_90qm_trans_red.htm?type=category
Harley Benton,ST-20HSS LH SBK,477.0,9.0181,55,IN_STOCK,138,harley_benton_st_20hss_lh_sbk.htm?type=category
Harley Benton,DC-580 CH Vintage Series,598.0,9.1718,384,IN_STOCK,173,harley_benton_dc_580_ch_vintage_series.htm?type=category
